TIME,ALB,ARG,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHL,CHN,CMR,COL,CRI,CYP,CZE,DEU,DEW,DNK,EA19,ESP,EST,EU27_2020,FIN,FRA,GBR,GEO,GRC,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MAR,MDG,MEX,MKD,MLT,NLD,NOR,NZL,OECD,OECDE,POL,PRT,ROU,RUS,SAU,SEN,SGP,SRB,SVK,SVN,SWE,TUR,USA,ZAF,ZMB
2004-09-30,16121841250.000002,,667982143750.0,272267597000.0,330846695500.0,69617234750.0,1884499777750.0,1068633059750.0,293735212250.0,183881805000.0,5572086100000.0,41114260250.0,319504657750.0,39781792750.0,18525800000.0,209881076750.0,2556316959250.0,1475016799000.0,175051199500.0,9422792195500.0,1105777974750.0,19355452000.0,11086654698500.0,160210159250.0,1805106184500.0,1895598612000.0,,274482661250.0,228126620500.0,62176419000.0,162523306750.0,1395539151250.0,2932210681250.0,154495374750.0,10168867500.0,174285325250.0,1697025494250.0,3892696636000.0,1121884860250.0,43307690250.0,29023615250.0,27168230000.0,,,1243823139500.0,14275153500.0,8569767000.0,575816692250.0,191106681500.0,101110555000.0,34689806286000.0,13849212811750.0,499781829500.0,223401120250.0,185421502750.0,1546340471500.0,1006783820750.0,24246991500.0,220103967000.0,61807745000.0,80401492750.0,44624801750.0,299637460750.0,712100371250.0,12027009500000.0,467672971500.0,
2004-10-31,16224378166.666668,,671226517166.6666,273511746333.33334,331943025333.3333,70080471833.33333,1897185636166.6667,1073627116500.0,294784478500.0,185245757666.66666,5627355800333.333,41430676166.666664,321552099500.0,40009081833.333336,18646315000.0,211069961833.33334,2566066716166.6665,1475016799000.0,176040447666.66666,9456839740000.0,1111232166833.3333,19505837666.666668,11131805529000.0,161183120500.0,1810818680000.0,1905077735666.6667,,275963307500.0,230158244333.33334,62535449666.666664,163159717833.33334,1404161052500.0,2956664939833.3335,155548962500.0,10246786666.666666,175329330500.0,1699644506833.3333,3908116346000.0,1128958429500.0,43540142166.666664,29227580166.666668,27374903000.0,,,1250445119333.3333,14375931000.0,8595017333.333334,578227886833.3334,192719730000.0,101610300666.66667,34857571247666.668,13911046149833.334,503146574666.6667,223991376166.66666,187900702166.66666,1558395977000.0,1015206464500.0,24391257666.666668,222260018333.33334,62319965666.666664,80867853166.66667,44901247833.333336,301261710500.0,719989948500.0,12090405000000.0,470391775666.6667,
2004-11-30,16326915083.333336,,674470890583.3334,274755895666.66666,333039355166.6667,70543708916.66667,1909871494583.3333,1078621173250.0,295833744750.0,186609710333.33334,5682625500666.667,41747092083.333336,323599541250.0,40236370916.666664,18766830000.0,212258846916.66666,2575816473083.3335,1475016799000.0,177029695833.33334,9490887284500.0,1116686358916.6667,19656223333.333332,11176956359500.0,162156081750.0,1816531175500.0,1914556859333.3333,,277443953750.0,232189868166.66666,62894480333.333336,163796128916.66666,1412782953750.0,2981119198416.6665,156602550250.0,10324705833.333334,176373335750.0,1702263519416.6667,3923536056000.0,1136031998750.0,43772594083.333336,29431545083.333332,27581576000.0,,,1257067099166.6667,14476708500.0,8620267666.666666,580639081416.6666,194332778500.0,102110046333.33333,35025336209333.332,13972879487916.666,506511319833.3333,224581632083.33334,190379901583.33334,1570451482500.0,1023629108250.0,24535523833.333332,224416069666.66666,62832186333.333336,81334213583.33333,45177693916.666664,302885960250.0,727879525750.0,12153800500000.0,473110579833.3333,
2004-12-31,16429452000.000002,470302946000.0,677715264000.0,276000045000.0,334135685000.0,71006946000.0,1922557353000.0,1083615230000.0,296883011000.0,187973663000.0,5737895201000.0,42063508000.0,325646983000.0,40463660000.0,18887345000.0,213447732000.0,2585566230000.0,1475016799000.0,178018944000.0,9524934829000.0,1122140551000.0,19806609000.0,11222107190000.0,163129043000.0,1822243671000.0,1924035983000.0,,278924600000.0,234221492000.0,63253511000.0,164432540000.0,1421404855000.0,3005573457000.0,157656138000.0,10402625000.0,177417341000.0,1704882532000.0,3938955766000.0,1143105568000.0,44005046000.0,29635510000.0,27788249000.0,,,1263689079000.0,14577486000.0,8645518000.0,583050276000.0,195945827000.0,102609792000.0,35193101171000.0,14034712826000.0,509876065000.0,225171888000.0,192859101000.0,1582506988000.0,1032051752000.0,24679790000.0,226572121000.0,63344407000.0,81800574000.0,45454140000.0,304510210000.0,735769103000.0,12217196000000.0,475829384000.0,
2005-01-31,16532274333.333336,475109856250.0,681196245583.3334,277007268083.3333,335262581166.6667,71658202500.0,1932872465500.0,1090925641000.0,297878185083.3333,189407880416.66666,5809081922333.333,42253984500.0,327815230500.0,40707694666.666664,19022088583.333332,214462152750.0,2588605694333.3335,1475016799000.0,178606904166.66666,9556444116250.0,1129056258250.0,20034104583.333332,11259917334916.666,163547185500.0,1830963397166.6667,1928529756000.0,,279099916333.3333,236320838666.66666,63533556333.333336,165110907000.0,1432073569666.6667,3033710420500.0,158546133250.0,10458650083.333334,177431240083.33334,1708363830166.6667,3953246159333.3335,1148981617083.3333,44355613833.333336,29832318666.666668,28068421166.666668,,,1270196277083.3333,14694955333.333334,8675741000.0,585633096333.3334,198097406416.66666,102904630083.33333,35353270348833.336,14084761650500.0,511584504500.0,226298496166.66666,193847060916.66666,1602501805166.6667,1039692771083.3334,24835397666.666668,228598646500.0,63758963083.333336,82433885916.66667,45642677833.333336,304902098083.3333,742380208666.6666,12285696083333.334,479230889583.3333,
2005-02-28,16635096666.666668,479916766500.0,684677227166.6666,278014491166.6667,336389477333.3333,72309459000.0,1943187578000.0,1098236052000.0,298873359166.6667,190842097833.33334,5880268643666.667,42444461000.0,329983478000.0,40951729333.333336,19156832166.666668,215476573500.0,2591645158666.6665,1475016799000.0,179194864333.33334,9587953403500.0,1135971965500.0,20261600166.666668,11297727479833.334,163965328000.0,1839683123333.3333,1933023529000.0,,279275232666.6667,238420185333.33334,63813601666.666664,165789274000.0,1442742284333.3333,3061847384000.0,159436128500.0,10514675166.666666,177445139166.66666,1711845128333.3333,3967536552666.6665,1154857666166.6667,44706181666.666664,30029127333.333332,28348593333.333332,,,1276703475166.6667,14812424666.666666,8705964000.0,588215916666.6666,200248985833.33334,103199468166.66667,35513439526666.664,14134810475000.0,513292944000.0,227425104333.33334,194835020833.33334,1622496622333.3333,1047333790166.6666,24991005333.333332,230625172000.0,64173519166.666664,83067197833.33333,45831215666.666664,305293986166.6667,748991314333.3334,12354196166666.666,482632395166.6667,
2005-03-31,16737919000.000002,484723676750.0,688158208750.0,279021714250.0,337516373500.0,72960715500.0,1953502690500.0,1105546463000.0,299868533250.0,192276315250.0,5951455365000.0,42634937500.0,332151725500.0,41195764000.0,19291575750.0,216490994250.0,2594684623000.0,1475016799000.0,179782824500.0,9619462690750.0,1142887672750.0,20489095750.0,11335537624750.0,164383470500.0,1848402849500.0,1937517302000.0,,279450549000.0,240519532000.0,64093647000.0,166467641000.0,1453410999000.0,3089984347500.0,160326123750.0,10570700250.0,177459038250.0,1715326426500.0,3981826946000.0,1160733715250.0,45056749500.0,30225936000.0,28628765500.0,,,1283210673250.0,14929894000.0,8736187000.0,590798737000.0,202400565250.0,103494306250.0,35673608704500.0,14184859299500.0,515001383500.0,228551712500.0,195822980750.0,1642491439500.0,1054974809250.0,25146613000.0,232651697500.0,64588075250.0,83700509750.0,46019753500.0,305685874250.0,755602420000.0,12422696250000.0,486033900750.0,
2005-04-30,16840741333.333334,489530587000.0,691639190333.3334,280028937333.3333,338643269666.6667,73611972000.0,1963817803000.0,1112856874000.0,300863707333.3333,193710532666.66666,6022642086333.333,42825414000.0,334319973000.0,41439798666.666664,19426319333.333332,217505415000.0,2597724087333.3335,1475016799000.0,180370784666.66666,9650971978000.0,1149803380000.0,20716591333.333332,11373347769666.666,164801613000.0,1857122575666.6667,1942011075000.0,,279625865333.3333,242618878666.66666,64373692333.33333,167146008000.0,1464079713666.6667,3118121311000.0,161216119000.0,10626725333.333334,177472937333.33334,1718807724666.6667,3996117339333.3335,1166609764333.3333,45407317333.333336,30422744666.666668,28908937666.666668,,,1289717871333.3333,15047363333.333334,8766410000.0,593381557333.3334,204552144666.66666,103789144333.33333,35833777882333.336,14234908124000.0,516709823000.0,229678320666.66666,196810940666.66666,1662486256666.6667,1062615828333.3334,25302220666.666668,234678223000.0,65002631333.333336,84333821666.66667,46208291333.333336,306077762333.3333,762213525666.6666,12491196333333.334,489435406333.3333,
2005-05-31,16943563666.666668,494337497250.0,695120171916.6666,281036160416.6667,339770165833.3333,74263228500.0,1974132915500.0,1120167285000.0,301858881416.6667,195144750083.33334,6093828807666.667,43015890500.0,336488220500.0,41683833333.333336,19561062916.666668,218519835750.0,2600763551666.6665,1475016799000.0,180958744833.33334,9682481265250.0,1156719087250.0,20944086916.666668,11411157914583.334,165219755500.0,1865842301833.3333,1946504848000.0,,279801181666.6667,244718225333.33334,64653737666.666664,167824375000.0,1474748428333.3333,3146258274500.0,162106114250.0,10682750416.666666,177486836416.66666,1722289022833.3333,4010407732666.6665,1172485813416.6667,45757885166.666664,30619553333.333332,29189109833.333332,,,1296225069416.6667,15164832666.666666,8796633000.0,595964377666.6666,206703724083.33334,104083982416.66667,35993947060166.664,14284956948500.0,518418262500.0,230804928833.33334,197798900583.33334,1682481073833.3333,1070256847416.6666,25457828333.333332,236704748500.0,65417187416.666664,84967133583.33333,46396829166.666664,306469650416.6667,768824631333.3334,12559696416666.666,492836911916.6667,
2005-06-30,17046386000.0,499144407500.0,698601153500.0,282043383500.0,340897062000.0,74914485000.0,1984448028000.0,1127477696000.0,302854055500.0,196578967500.0,6165015529000.0,43206367000.0,338656468000.0,41927868000.0,19695806500.0,219534256500.0,2603803016000.0,1475016799000.0,181546705000.0,9713990552500.0,1163634794500.0,21171582500.0,11448968059500.0,165637898000.0,1874562028000.0,1950998621000.0,,279976498000.0,246817572000.0,64933783000.0,168502742000.0,1485417143000.0,3174395238000.0,162996109500.0,10738775500.0,177500735500.0,1725770321000.0,4024698126000.0,1178361862500.0,46108453000.0,30816362000.0,29469282000.0,,,1302732267500.0,15282302000.0,8826856000.0,598547198000.0,208855303500.0,104378820500.0,36154116238000.0,14335005773000.0,520126702000.0,231931537000.0,198786860500.0,1702475891000.0,1077897866500.0,25613436000.0,238731274000.0,65831743500.0,85600445500.0,46585367000.0,306861538500.0,775435737000.0,12628196500000.0,496238417500.0,
2005-07-31,17149208333.333334,503951317749.99994,702082135083.3334,283050606583.3333,342023958166.6667,75565741500.0,1994763140500.0,1134788107000.0,303849229583.3333,198013184916.66666,6236202250333.333,43396843500.0,340824715500.0,42171902666.666664,19830550083.333332,220548677250.0,2606842480333.3335,1475016799000.0,182134665166.66666,9745499839750.0,1170550501750.0,21399078083.333332,11486778204416.666,166056040500.0,1883281754166.6667,1955492394000.0,,280151814333.3333,248916918666.66666,65213828333.33333,169181109000.0,1496085857666.6667,3202532201500.0,163886104750.0,10794800583.333334,177514634583.33334,1729251619166.6667,4038988519333.3335,1184237911583.3333,46459020833.333336,31013170666.666668,29749454166.666668,,,1309239465583.3333,15399771333.333334,8857079000.0,601130018333.3334,211006882916.66666,104673658583.33333,36314285415833.336,14385054597500.0,521835141500.00006,233058145166.66666,199774820416.66666,1722470708166.6667,1085538885583.3334,25769043666.666668,240757799500.0,66246299583.333336,86233757416.66667,46773904833.333336,307253426583.3333,782046842666.6666,12696696583333.334,499639923083.3333,
2005-08-31,17252030666.666668,508758227999.99994,705563116666.6666,284057829666.6667,343150854333.3333,76216998000.0,2005078253000.0,1142098518000.0,304844403666.6667,199447402333.33334,6307388971666.667,43587320000.0,342992963000.0,42415937333.333336,19965293666.666668,221563098000.0,2609881944666.6665,1475016799000.0,182722625333.33334,9777009127000.0,1177466209000.0,21626573666.666668,11524588349333.334,166474183000.0,1892001480333.3333,1959986167000.0,,280327130666.6667,251016265333.33334,65493873666.666664,169859476000.0,1506754572333.3333,3230669165000.0,164776100000.0,10850825666.666666,177528533666.66666,1732732917333.3333,4053278912666.6665,1190113960666.6667,46809588666.666664,31209979333.333332,30029626333.333332,,,1315746663666.6667,15517240666.666666,8887302000.0,603712838666.6666,213158462333.33334,104968496666.66667,36474454593666.664,14435103422000.0,523543581000.00006,234184753333.33334,200762780333.33334,1742465525333.3333,1093179904666.6666,25924651333.333332,242784325000.0,66660855666.666664,86867069333.33333,46962442666.666664,307645314666.6667,788657948333.3334,12765196666666.666,503041428666.6667,
2005-09-30,17354853000.0,513565138249.99994,709044098250.0,285065052750.0,344277750500.0,76868254500.0,2015393365500.0,1149408929000.0,305839577750.0,200881619750.0,6378575693000.0,43777796500.0,345161210500.0,42659972000.0,20100037250.0,222577518750.0,2612921409000.0,1475016799000.0,183310585500.0,9808518414250.0,1184381916250.0,21854069250.0,11562398494250.0,166892325500.0,1900721206500.0,1964479940000.0,,280502447000.0,253115612000.0,65773918999.99999,170537843000.0,1517423287000.0,3258806128500.0,165666095250.0,10906850750.0,177542432750.0,1736214215500.0,4067569306000.0,1195990009750.0,47160156500.0,31406788000.0,30309798500.0,,,1322253861750.0,15634710000.0,8917525000.0,606295659000.0,215310041750.0,105263334750.0,36634623771500.0,14485152246500.0,525252020500.00006,235311361500.0,201750740250.0,1762460342500.0,1100820923750.0,26080259000.0,244810850500.0,67075411750.0,87500381250.0,47150980500.0,308037202750.0,795269054000.0,12833696750000.0,506442934250.0,
2005-10-31,17457675333.333332,518372048499.99994,712525079833.3334,286072275833.3333,345404646666.6667,77519511000.0,2025708478000.0,1156719340000.0,306834751833.3333,202315837166.66666,6449762414333.333,43968273000.0,347329458000.0,42904006666.666664,20234780833.333332,223591939500.0,2615960873333.3335,1475016799000.0,183898545666.66666,9840027701500.0,1191297623500.0,22081564833.333332,11600208639166.666,167310468000.0,1909440932666.6667,1968973713000.0,,280677763333.3333,255214958666.66666,66053964333.33333,171216210000.0,1528092001666.6667,3286943092000.0,166556090500.0,10962875833.333334,177556331833.33334,1739695513666.6667,4081859699333.3335,1201866058833.3333,47510724333.333336,31603596666.666668,30589970666.666668,,,1328761059833.3333,15752179333.333334,8947748000.0,608878479333.3334,217461621166.66666,105558172833.33333,36794792949333.336,14535201071000.0,526960460000.00006,236437969666.66666,202738700166.66666,1782455159666.6667,1108461942833.3333,26235866666.666668,246837376000.0,67489967833.333336,88133693166.66667,47339518333.333336,308429090833.3333,801880159666.6666,12902196833333.334,509844439833.3333,
2005-11-30,17560497666.666668,523178958749.99994,716006061416.6666,287079498916.6667,346531542833.3333,78170767500.0,2036023590500.0,1164029751000.0,307829925916.6667,203750054583.33334,6520949135666.667,44158749500.0,349497705500.0,43148041333.333336,20369524416.666668,224606360250.0,2619000337666.6665,1475016799000.0,184486505833.33334,9871536988750.0,1198213330750.0,22309060416.666668,11638018784083.334,167728610500.0,1918160658833.3333,1973467486000.0,,280853079666.6667,257314305333.33334,66334009666.66666,171894577000.0,1538760716333.3333,3315080055500.0,167446085750.0,11018900916.666666,177570230916.66666,1743176811833.3333,4096150092666.6665,1207742107916.6667,47861292166.666664,31800405333.333332,30870142833.333332,,,1335268257916.6667,15869648666.666666,8977971000.0,611461299666.6666,219613200583.33334,105853010916.66667,36954962127166.664,14585249895500.0,528668899500.00006,237564577833.33334,203726660083.33334,1802449976833.3333,1116102961916.6667,26391474333.333332,248863901500.0,67904523916.666664,88767005083.33333,47528056166.666664,308820978916.6667,808491265333.3334,12970696916666.666,513245945416.6667,
2005-12-31,17663320000.0,527985868999.99994,719487043000.0,288086722000.0,347658439000.0,78822024000.0,2046338703000.0,1171340162000.0,308825100000.0,205184272000.0,6592135857000.0,44349226000.0,351665953000.0,43392076000.0,20504268000.0,225620781000.0,2622039802000.0,1475016799000.0,185074466000.0,9903046276000.0,1205129038000.0,22536556000.0,11675828929000.0,168146753000.0,1926880385000.0,1977961259000.0,,281028396000.0,259413652000.0,66614054999.99999,172572944000.0,1549429431000.0,3343217019000.0,168336081000.0,11074926000.0,177584130000.0,1746658110000.0,4110440486000.0,1213618157000.0,48211860000.0,31997214000.0,31150315000.0,,,1341775456000.0,15987118000.0,9008194000.0,614044120000.0,221764780000.0,106147849000.0,37115131305000.0,14635298720000.0,530377339000.00006,238691186000.0,204714620000.0,1822444794000.0,1123743981000.0,26547082000.0,250890427000.0,68319080000.0,89400317000.0,47716594000.0,309212867000.0,815102371000.0,13039197000000.0,516647451000.0,
2006-01-31,17828696916.666668,532993390749.99994,724186975833.3334,290029061833.3333,349677608500.0,79478555083.33333,2058565269416.6667,1177196724416.6667,311948260000.0,209424776666.66666,6681124579500.0,44608399750.0,354599343166.6667,43776759000.0,20673673250.0,227230440416.66666,2638021890166.6665,1475016799000.0,186566937333.33334,9974498832250.0,1218352215500.0,22829574500.0,11762948267000.0,169254367666.66666,1938437075333.3333,1989341826750.0,,283826160583.3333,261647891500.0,67390184749.99999,173619994416.66666,1560735451250.0,3372692382750.0,170059648000.0,11156971000.0,178266225416.66666,1758341563416.6667,4126263961166.6665,1221002309833.3333,48685269250.0,32437320083.333332,31485829166.666668,,,1353770657416.6667,16132135833.333334,9045074416.666666,618738129916.6666,224399580333.33334,106973068416.66667,37344976267833.336,14745619632166.666,534336898666.66675,240442078583.33334,208062711250.0,1861511382416.6667,1129325265416.6667,26664032333.333332,253476743583.33334,68930386750.0,90418589583.33333,48041392333.333336,311994026250.0,825946923416.6666,13103895833333.334,520463021416.6667,
